systemstop,objectid,street,routesstpg,public_nam,point_x,point_y
11953,193,92ND STREET,95,92nd Street & Baltimore,-87.54862704,41.72818418
2723,194,79TH STREET,79,79th Street & Kilpatrick,-87.73722716,41.74911107
1307,195,FULLERTON,74,Fullerton & Kilpatrick,-87.74397363,41.92414302
6696,196,TAYLOR,157,Taylor & Throop,-87.65929365,41.86931425
22,197,JACKSON,126,Jackson & Karlov,-87.72780787,41.8770066
4767,198,FOSTER,92,Foster & Monticello,-87.71978,41.975526
6057,199,ASHLAND,"9,X9",Ashland & Cermak/Blue Island,-87.66617293,41.85248368
1790,200,CLARK,22,Clark & Albion,-87.67198065,42.00178504
1847,201,CLARK,"22,36",Clark & Burton,-87.631719,41.909497
11474,202,RIDGE,84,Ridge & Broadway/Bryn Mawr,-87.660447,41.983932
1368,203,LINCOLN,11,Lincoln & Berwyn,-87.692578,41.977713
11877,204,CALIFORNIA,93,California & Devon,-87.69972827,41.99764619
3718,205,HALSTED,"8A,108",Halsted & 115th Street,-87.64227929,41.68519279
5173,206,RACINE,44,Racine & 60th Street,-87.65469488,41.78513736
5182,207,RACINE,44,Racine & 68th Street,-87.65434201,41.77057756
7543,208,MICHIGAN,"34,119",Michigan & 110th Street,-87.62086382,41.6945046
10235,209,CICERO,54,Cicero & Iowa,-87.74591,41.896936
4525,210,ARCHER,"62,62H",Archer & Major,-87.76464595,41.79544108
5368,211,BROADWAY,36,Broadway & Surf,-87.64431034,41.93492829
9925,212,NORTHWEST HWY,68,Northwest Hwy & Overhill,-87.81870908,42.00432736
9936,213,NORTHWEST HWY,68,Northwest Hwy & Niagara,-87.8008397,41.99339964
16069,214,CICERO,54B,Cicero & Pershing,-87.74369328,41.82179553
2259,215,KING DRIVE,3,King Drive & 90th Street,-87.61445367,41.73096625
14102,216,JEFFERSON PARK,81,Jefferson Park Transit Center,-87.76185025,41.96984927
7058,217,S. SHORE DRIVE,"N5,6,26,71",S. Shore Drive & 77th Street,-87.55339915,41.75689547
5353,218,BROADWAY,36,Broadway & Cullom,-87.654145,41.960081
6488,219,WENTWORTH,24,Wentworth & Cermak,-87.63191809,41.85269836
5710,220,IRVING PARK,80,Irving Park & Keystone (Blue Line),-87.72903944,41.95374569
5314,221,67TH STREET,"N5,6,15,67",67th Street & East End,-87.58383046,41.77341842
4723,222,JACKSON,126,Jackson & Campbell,-87.68868467,41.87759071
8099,223,47TH STREET,47,47th Street & Albany,-87.70140483,41.80822289
237,224,CONGRESS,7,Congress & Karlov,-87.72774701,41.87439868
458,225,MADISON,20,Madison & Peoria,-87.649477,41.8818
9688,226,LAWRENCE,"81W,91",Lawrence & Menard,-87.772711,41.967761
10122,227,71ST STREET,67,71st Street & Spaulding,-87.7052,41.764399
335,228,ROOSEVELT,12,Roosevelt & May,-87.65499111,41.86711341
9749,229,LAWRENCE,81W,Lawrence & Prospect,-87.83101847,41.96676517
7997,230,43RD STREET,43,43rd Street & Cottage Grove,-87.60657472,41.81688172
9517,231,87TH STREET,87,87th Street & Albany,-87.69960034,41.7353777
7586,232,131ST STREET,34,131st Street & Rhodes,-87.609601,41.657499
4132,233,ARMITAGE,73,4600 W Armitage,-87.74183673,41.91705044
14681,234,CENTRAL STREET,201,Central Street & Ridge,-87.68329,42.06417
9687,235,LAWRENCE,"81W,91",Lawrence & Major,-87.770069,41.967801
5379,236,STATE,36,State & Huron,-87.628241,41.895007
12609,237,ADDISON,152,Addison & Melvina,-87.78122829,41.94575459
9314,238,BELMONT,77,Belmont & Central Park,-87.71726747,41.93927553
14523,239,CHICAGO,66,Chicago & Hamlin,-87.72134984,41.89548807
12574,240,ADDISON,152,Addison & California,-87.69785558,41.94674469
1543,241,51ST STREET,15,51st Street & Indiana,-87.62093295,41.80210347
6846,242,CERMAK,21,Cermak & Archer,-87.6342735,41.85294079
15316,243,35TH STREET,35,35th Street & Michigan,-87.62369993,41.83109973
367,244,ROOSEVELT,12,Roosevelt & Keeler,-87.72995235,41.86618436
17019,245,BELMONT,77,Belmont & Central,-87.76677666,41.93863989
15337,246,GRAND,65,Grand & Menard,-87.77091308,41.91975665
6859,247,CERMAK,21,Cermak & Throop,-87.65859158,41.85250609
7590,248,127TH STREET,"34,108",127th Street & Michigan,-87.61978427,41.66354445
11378,249,MONTROSE,78,Montrose & Oakley,-87.686301,41.961398
786,250,GRAND,65,Grand & Wood,-87.671862,41.8909867
