id,case_number,date,primary_type,description,district,year,latitude,longitude
12548362,JE454181,2021-11-22T23:43:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,015,2021,41.892986573,-87.75712941
12548844,JE454694,2021-11-22T23:35:00.000,CRIMINAL DAMAGE,TO VEHICLE,022,2021,41.727938562,-87.650678778
12548440,JE454253,2021-11-22T23:30:00.000,THEFT,OVER $500,025,2021,41.935367813,-87.791942446
12548635,JE454373,2021-11-22T23:30:00.000,THEFT,PURSE-SNATCHING,002,2021,41.8020092,-87.622063199
12548333,JE454182,2021-11-22T23:30:00.000,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,014,2021,41.910606,-87.669467405
12548687,JE454184,2021-11-22T23:30:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,009,2021,41.821276065,-87.631318992
12548450,JE454261,2021-11-22T23:22:00.000,THEFT,ATTEMPT THEFT,008,2021,41.777563982,-87.769037848
12548331,JE454168,2021-11-22T23:16:00.000,CRIMINAL TRESPASS,TO LAND,011,2021,41.873699424,-87.704705156
12548361,JE454177,2021-11-22T23:10:00.000,CRIMINAL DAMAGE,TO PROPERTY,017,2021,41.965655711,-87.73657143
12548345,JE454176,2021-11-22T23:09:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,008,2021,41.76390362,-87.686893601
12548409,JE454170,2021-11-22T23:05:00.000,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,015,2021,41.894903267,-87.759014768
12551526,JE454157,2021-11-22T23:00:00.000,THEFT,$500 AND UNDER,014,2021,,
12549441,JE455449,2021-11-22T23:00:00.000,CRIMINAL DAMAGE,TO PROPERTY,025,2021,41.93558532,-87.774902005
12548972,JE454457,2021-11-22T23:00:00.000,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,001,2021,41.885433199,-87.626265286
12548452,JE454191,2021-11-22T23:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,005,2021,41.678788405,-87.657772943
12548507,JE454312,2021-11-22T23:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,006,2021,41.750456125,-87.621368279
12548734,JE454469,2021-11-22T23:00:00.000,BURGLARY,UNLAWFUL ENTRY,004,2021,41.700004354,-87.535279144
12548357,JE454174,2021-11-22T22:51:00.000,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,016,2021,41.952432298,-87.750646147
12549334,JE454454,2021-11-22T22:50:00.000,ASSAULT,SIMPLE,007,2021,41.765422238,-87.630516976
12548350,JE454179,2021-11-22T22:45:00.000,THEFT,$500 AND UNDER,004,2021,41.745553759,-87.560065633
12548359,JE454152,2021-11-22T22:41:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,014,2021,41.910063786,-87.710825421
12552544,JE456670,2021-11-22T22:35:00.000,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,006,2021,,
12548367,JE454153,2021-11-22T22:30:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,002,2021,41.821553466,-87.621546109
12548630,JE454471,2021-11-22T22:30:00.000,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,011,2021,41.87489705,-87.696938589
12548319,JE454172,2021-11-22T22:30:00.000,OTHER OFFENSE,TELEPHONE THREAT,025,2021,41.918204302,-87.73635971
12548325,JE454142,2021-11-22T22:21:00.000,NARCOTICS,POSSESS - COCAINE,011,2021,41.901788359,-87.723835955
12548335,JE454129,2021-11-22T22:21:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,005,2021,41.690229652,-87.610430216
12548305,JE454123,2021-11-22T22:20:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,011,2021,41.878794911,-87.731751053
12548308,JE454133,2021-11-22T22:15:00.000,ROBBERY,ARMED - HANDGUN,024,2021,42.016367487,-87.665174406
12548272,JE454131,2021-11-22T22:10:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,011,2021,41.875758145,-87.7377573
12548297,JE454125,2021-11-22T22:10:00.000,BATTERY,SIMPLE,018,2021,41.893004965,-87.628117361
12548390,JE454158,2021-11-22T22:04:00.000,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",012,2021,41.881348623,-87.674525788
12548307,JE454132,2021-11-22T22:03:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,015,2021,41.88477383,-87.773376308
12553073,JE457387,2021-11-22T22:00:00.000,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,022,2021,,
12550309,JE456615,2021-11-22T22:00:00.000,CRIMINAL DAMAGE,TO PROPERTY,003,2021,41.772952517,-87.575258319
12548608,JE454430,2021-11-22T22:00:00.000,THEFT,OVER $500,024,2021,42.006061022,-87.661062076
12548657,JE454452,2021-11-22T22:00:00.000,THEFT,$500 AND UNDER,012,2021,41.899756396,-87.696802013
12548348,JE454171,2021-11-22T22:00:00.000,ASSAULT,SIMPLE,004,2021,41.698524976,-87.526996297
12548852,JE454700,2021-11-22T22:00:00.000,THEFT,OVER $500,022,2021,41.690405543,-87.653180986
12548311,JE454106,2021-11-22T21:41:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,009,2021,41.804937327,-87.703884985
12548300,JE454112,2021-11-22T21:35:00.000,BATTERY,SIMPLE,014,2021,41.919993174,-87.676480035
12548288,JE454096,2021-11-22T21:24:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,012,2021,41.864278809,-87.659759334
12548394,JE454105,2021-11-22T21:18:00.000,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",012,2021,41.881348623,-87.674525788
12548254,JE454094,2021-11-22T21:16:00.000,THEFT,RETAIL THEFT,025,2021,41.938151196,-87.796189752
12548407,JE454124,2021-11-22T21:15:00.000,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,012,2021,41.862170074,-87.661437117
12548283,JE454091,2021-11-22T21:15:00.000,CRIMINAL TRESPASS,TO VEHICLE,025,2021,41.936386421,-87.746789805
12548353,JE454121,2021-11-22T21:08:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,002,2021,41.8130239,-87.615753009
12548672,JE454308,2021-11-22T21:04:00.000,CRIMINAL DAMAGE,TO VEHICLE,008,2021,41.787515947,-87.70829059
12548339,JE454102,2021-11-22T21:03:00.000,BATTERY,AGGRAVATED - HANDGUN,022,2021,41.706104299,-87.634624136
12548349,JE454093,2021-11-22T21:03:00.000,BATTERY,AGGRAVATED - HANDGUN,004,2021,41.716469739,-87.568289284
12548785,JE454625,2021-11-22T21:00:00.000,OTHER OFFENSE,HARASSMENT BY TELEPHONE,005,2021,41.701624384,-87.62903695
12548883,JE454260,2021-11-22T21:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,024,2021,41.997988611,-87.703325202
12548401,JE454183,2021-11-22T21:00:00.000,BATTERY,AGGRAVATED - HANDGUN,006,2021,41.725007581,-87.619066721
12548510,JE454353,2021-11-22T21:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,025,2021,41.903823938,-87.722681498
12548256,JE454081,2021-11-22T21:00:00.000,ASSAULT,SIMPLE,025,2021,41.909797796,-87.733025085
12548328,JE454073,2021-11-22T20:54:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,004,2021,41.75313973,-87.562624263
12548246,JE454078,2021-11-22T20:50:00.000,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,006,2021,41.751320646,-87.602151846
