store_name,license_id,square_feet,buffer_size,address,zip_code,census_tract,census_block,latitude,longitude
200 LIQUORS,48663,5000,B,204 E 47TH ST,60653,17031381500,170313815001007,41.8094238941,-87.6209518020
3600 COMMISSARY,24279,3800,B,3600 N LAKE SHORE DR,60613,17031060900,170310609004001,41.9486836744,-87.6436497585
4343 PETES FRESH MARKET,1336669,57000,A,4343 S PULASKI RD,60632,17031570100,170315701001015,41.8139143113,-87.7236649419
4700 PETE'S FRESH MARKET,1243125,45000,A,4700 S KEDZIE AVE,60632,17031842800,170318428004023,41.8080472717,-87.7041188223
5659 W. DIVERSEY,1575023,4000,B,5659 W DIVERSEY AVE,60639,17031190602,170311906022001,41.9311354035,-87.7686121306
"7400 S HALSTED FOOD AND LIQUORS, INC.",980,10001,A,7400 S HALSTED ST,60621,17031681300,170316813003005,41.7596745819,-87.6444202389
79 FOOD BASKET,1958784,3000,B,1351 W 79TH ST,60620,17031710700,170317107001012,41.7503211206,-87.6581890529
AARAY GROCERY,1900,10001,A,2601 N HALSTED ST,60614,17031070200,170310702001009,41.9292098170,-87.6487462650
A & B FOOD MARKET INC,43181,10001,A,5057 W DIVISION ST,60651,17031251100,170312511004000,41.9021664421,-87.7531823487
ADA FOODS,50473,4500,B,1281 W 71ST ST,60636,17031671800,170316718001000,41.7648941814,-87.6573078048
ADAMS FOOD MART,1817376,2500,B,559 N LARAMIE AVE,60644,17031251600,170312516003011,41.8910335471,-87.7553096457
A & G LIQUORS,44373,4800,B,6945 S STATE ST,60637,17031690400,170316904003005,41.7678312792,-87.6247659397
AL BAYAN GROCERY INC.,1542202,2500,B,3134 N NARRAGANSETT AVE,60634,17031831500,170318315001015,41.9375646502,-87.7860543686
ALDI,1922075,16615,A,6621 S COTTAGE GROVE AVE,60637,17031420800,170314208002008,41.7743058812,-87.6056480253
ALDI,1959623,15680,A,6221 N BROADWAY,60660,17031030103,170310301031003,41.9952114602,-87.6602779929
ALDI #28,1519765,15154,A,4934 S KEDZIE AVE,60632,17031630300,170316303002000,41.8034457131,-87.7039862718
ALDI #30,1547427,15154,A,3030 S KEDZIE AVE,60623,17031840800,170318408002012,41.8381141517,-87.7049944648
ALDI #32,1975885,16924,A,1840 N CLYBOURN AVE,60614,17031832600,170318326002019,41.9144237141,-87.6546278430
ALDI #70,1997726,18263,A,7627 S ASHLAND AVE,60620,17031710300,170317103001013,41.7549909175,-87.6634041558
ALDI #79,1515471,15150,A,7800 S SOUTH CHICAGO AVE,60619,17031834300,170318343002003,41.7527456405,-87.5875234853
ALDI FOODS #91,13994,15565,A,3835 W MADISON ST,60624,17031260800,170312608001000,41.8806594115,-87.7221936689
ALDI FOODS -STORE #04,13988,12500,A,800 N KEDZIE AVE,60651,17031836600,170318366001013,41.8956153135,-87.7067053251
ALDI FOODS STORE #2,14004,15600,A,4645 W DIVERSEY AVE,60639,17031190900,170311909001000,41.9314609382,-87.7437173070
ALDI FOODS STORE #26,13998,15540,A,2600 N CLYBOURN AVE,60614,17031070700,170310707002008,41.9286950012,-87.6741950831
ALDI FOODS-STORE #27,13986,12300,A,3363 N MILWAUKEE AVE,60641,17031161300,170311613002008,41.9423835134,-87.7290108595
ALDI FOODS STORE #30,14000,14860,A,4030 W WRIGHTWOOD AVE,60639,17031220702,170312207022005,41.9282078544,-87.7281585580
ALDI FOODS STORE #90B,13992,15565,A,2828 N CENTRAL AVE,60634,17031190402,170311904022031,41.9321576791,-87.7664245988
ALDI INC #06,13978,14000,A,5001 N PULASKI RD,60630,17031140302,170311403023005,41.9719812207,-87.7279868979
ALDI INC #10,14002,15540,A,4501 S PULASKI RD,60632,17031570100,170315701001024,41.8114515422,-87.7235746544
ALDI INC #53,13964,13981,A,5775 S ARCHER AVE,60638,17031560700,170315607002042,41.7963804895,-87.7573475722
ALDI INC #58,13974,12571,A,2431 W MONTROSE AVE,60618,17031050300,170310503001001,41.9611940986,-87.6899669704
ALDI INC # 62,13984,12646,A,6220 N CALIFORNIA AVE,60659,17031020702,170310207022006,41.9946209588,-87.6996868624
ALDI INC #64,13976,11760,A,1767 N MILWAUKEE AVE,60647,17031831000,170318310001003,41.9135877900,-87.6822028354
ALDI INC #83,13990,16300,A,8333 S CICERO AVE,60652,17031700302,170317003023005,41.7409110654,-87.7409228594
ALDI INC #92,13996,19410,A,620 W 63RD ST,60621,17031680900,170316809004003,41.7799200473,-87.6409255107
ALDI INC.#94,14010,10001,A,6025 S WESTERN AVE,60636,17031835000,170318350001001,41.7839658423,-87.6836233778
ALDI INC. #96,1868821,16117,A,821 W 115TH ST,60643,17031530300,170315303001000,41.6849606404,-87.6430223096
ALDI INC STORE 14,1242812,15000,A,5629 W FILLMORE ST,60644,17031831400,170318314002056,41.8673156479,-87.7655979430
ALDI INC STORE #16,1226990,20848,A,1246 E 87TH ST,60619,17031834300,170318343005004,41.7369153460,-87.5936566218
ALDI INC STORE #62,14006,9495,B,1739 W CERMAK RD,60608,17031843200,170318432002043,41.8521511995,-87.6700746019
ALDI INC STORE #90,14008,16340,A,9017 S HALSTED ST,60620,17031711500,170317115002037,41.7302972736,-87.6433090924
ALDI INC STORE #95,14011,37000,A,2333 E 95TH ST,60617,17031510300,170315103001005,41.7224662420,-87.5666730521
ALDI'S,1817903,15255,A,4500 N BROADWAY,60640,17031830700,170318307004004,41.9637889643,-87.6566064924
ALDI'S,1817904,11179,A,6520 W FULLERTON AVE,60707,17031831500,170318315001045,41.9237604017,-87.7887477626
ALDI'S #08,1743166,16890,A,7333 S STATE ST,60619,17031691000,170316910003005,41.7608808720,-87.6246657846
ALDI'S # 26,1821323,16550,A,10532 S INDIANAPOLIS AVE,60617,17031520100,170315201001079,41.7036623609,-87.5257124268
ALDI'S #47,1619769,16370,A,1508 W 47TH ST,60609,17031842600,170318426002057,41.8087413884,-87.6629116285
ALDI'S #93,1743165,16890,A,7545 S WESTERN AVE,60620,17031700100,170317001002053,41.7560350910,-87.6828583216
ALDI'S FOODS BELMONT,1975886,18600,A,3320 W BELMONT AVE,60618,17031831100,170318311001026,41.9394051879,-87.7109005918
ALLA'S FOOD,1068956,3500,B,2024 E 93RD ST,60617,17031480400,170314804004023,41.7262403487,-87.5742922611
ALL STAR FOOD & LIQUOR,1922124,4200,B,2911 S ARCHER AVE,60608,17031600700,170316007001000,41.8414840391,-87.6580219776
ALMUFLIHI FOOD & LIQUOR,62800,4500,B,5404 S HALSTED ST,60609,17031612100,170316121001039,41.7958707987,-87.6453441182
AM-PM FOOD MART & CELLULAR,1093813,3500,B,1924 E 87TH ST,60617,17031450300,170314503003028,41.7371462539,-87.5770809934
ANAR INC,31219,10001,A,935 E 79TH ST,60619,17031440101,170314401011006,41.7512179339,-87.6014014102
ANDYS FRUIT RANCH,1275209,15000,A,4733 N KEDZIE AVE,60625,17031140800,170311408005008,41.9676291597,-87.7083036873
A & R FOOD MART,1954411,3500,B,5952 W GRAND AVE,60639,17031191302,170311913021018,41.9205964582,-87.7751926809
A & R FOOD MART,9125,2500,B,5952 W GRAND AVE,60639,17031191302,170311913021018,41.9205964582,-87.7751926809
ARISTA FOODS,1473367,10000,A,112 N MAY ST,60607,17031833000,170318330002084,41.8834021216,-87.6557252931
ARMITAGE PRODUCE INC,1771323,14340,A,2007 N KIMBALL AVE,60647,17031221100,170312211002029,41.9175624189,-87.7117551087
AROUND THE CLOCK,15860,3000,B,1605 W HOWARD ST,60626,17031010202,170310102021000,42.0192651821,-87.6715720734
ASHLAND FOOD AND LIQUORS,11636,10001,A,1554 W 95TH ST,60643,17031730201,170317302011018,41.7213269867,-87.6625336585
